,country,country_code,year_week,level,region,region_name,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source,formatted_date
0,Austria,AT,2020-W01,national,AT,Austria,,,8978929,,,,2020-01-06
1,Austria,AT,2020-W02,national,AT,Austria,,,8978929,,,,2020-01-13
2,Austria,AT,2020-W03,national,AT,Austria,,,8978929,,,,2020-01-20
3,Austria,AT,2020-W04,national,AT,Austria,,,8978929,,,,2020-01-27
4,Austria,AT,2020-W05,national,AT,Austria,,,8978929,,,,2020-02-03
5,Austria,AT,2020-W06,national,AT,Austria,,,8978929,,,,2020-02-10
6,Austria,AT,2020-W07,national,AT,Austria,,,8978929,,,,2020-02-17
7,Austria,AT,2020-W08,national,AT,Austria,,,8978929,,,,2020-02-24
8,Austria,AT,2020-W09,national,AT,Austria,12.0,,8978929,,,,2020-03-02
9,Austria,AT,2020-W10,national,AT,Austria,115.0,,8978929,,,,2020-03-09
10,Austria,AT,2020-W11,national,AT,Austria,874.0,,8978929,,,,2020-03-16
11,Austria,AT,2020-W12,national,AT,Austria,3046.0,,8978929,,,,2020-03-23
12,Austria,AT,2020-W13,national,AT,Austria,5098.0,,8978929,,,,2020-03-30
13,Austria,AT,2020-W14,national,AT,Austria,3114.0,,8978929,,,,2020-04-06
14,Austria,AT,2020-W15,national,AT,Austria,1838.0,,8978929,,,,2020-04-13
15,Austria,AT,2020-W16,national,AT,Austria,686.0,,8978929,,,,2020-04-20
16,Austria,AT,2020-W17,national,AT,Austria,450.0,,8978929,,,,2020-04-27
17,Austria,AT,2020-W18,national,AT,Austria,309.0,,8978929,,,,2020-05-04
18,Austria,AT,2020-W19,national,AT,Austria,260.0,,8978929,,,,2020-05-11
19,Austria,AT,2020-W20,national,AT,Austria,324.0,,8978929,,,,2020-05-18
20,Austria,AT,2020-W21,national,AT,Austria,264.0,,8978929,,,,2020-05-25
21,Austria,AT,2020-W22,national,AT,Austria,195.0,,8978929,,,,2020-06-01
22,Austria,AT,2020-W23,national,AT,Austria,228.0,,8978929,,,,2020-06-08
23,Austria,AT,2020-W24,national,AT,Austria,172.0,,8978929,,,,2020-06-15
24,Austria,AT,2020-W25,national,AT,Austria,248.0,,8978929,,,,2020-06-22
25,Austria,AT,2020-W26,national,AT,Austria,334.0,,8978929,,,,2020-06-29
26,Austria,AT,2020-W27,national,AT,Austria,640.0,,8978929,,,,2020-07-06
27,Austria,AT,2020-W28,national,AT,Austria,597.0,,8978929,,,,2020-07-13
28,Austria,AT,2020-W29,national,AT,Austria,784.0,,8978929,,,,2020-07-20
29,Austria,AT,2020-W30,national,AT,Austria,872.0,,8978929,,,,2020-07-27
30,Austria,AT,2020-W31,national,AT,Austria,792.0,,8978929,,,,2020-08-03
31,Austria,AT,2020-W32,national,AT,Austria,721.0,,8978929,,,,2020-08-10
32,Austria,AT,2020-W33,national,AT,Austria,1461.0,,8978929,,,,2020-08-17
33,Austria,AT,2020-W34,national,AT,Austria,1908.0,,8978929,,,,2020-08-24
34,Austria,AT,2020-W35,national,AT,Austria,1943.0,,8978929,,,,2020-08-31
35,Austria,AT,2020-W36,national,AT,Austria,2263.0,,8978929,,,,2020-09-07
36,Austria,AT,2020-W37,national,AT,Austria,3995.0,,8978929,,,,2020-09-14
37,Austria,AT,2020-W38,national,AT,Austria,5215.0,,8978929,,,,2020-09-21
38,Austria,AT,2020-W39,national,AT,Austria,4661.0,,8978929,,,,2020-09-28
39,Austria,AT,2020-W40,national,AT,Austria,5602.0,,8978929,,,,2020-10-05
40,Austria,AT,2020-W41,national,AT,Austria,7487.0,124663.0,8978929,1388.394986,6.005791614,TESSy COVID-19,2020-10-12
41,Austria,AT,2020-W42,national,AT,Austria,9898.0,129647.0,8978929,1443.902719,7.634576967,TESSy COVID-19,2020-10-19
42,Austria,AT,2020-W43,national,AT,Austria,18262.0,158997.0,8978929,1770.779121,11.4857513,TESSy COVID-19,2020-10-26
43,Austria,AT,2020-W44,national,AT,Austria,31613.0,167926.0,8978929,1870.223052,18.82555411,TESSy COVID-19,2020-11-02
44,Austria,AT,2020-W45,national,AT,Austria,44772.0,199567.0,8978929,2222.614746,22.43457085,TESSy COVID-19,2020-11-09
45,Austria,AT,2020-W46,national,AT,Austria,47837.0,215044.0,8978929,2394.98497,22.24521493,TESSy COVID-19,2020-11-16
46,Austria,AT,2020-W47,national,AT,Austria,40699.0,207745.0,8978929,2313.694651,19.59084454,TESSy COVID-19,2020-11-23
47,Austria,AT,2020-W48,national,AT,Austria,31142.0,196461.0,8978929,2188.022647,15.85149215,TESSy COVID-19,2020-11-30
48,Austria,AT,2020-W49,national,AT,Austria,23070.0,163770.0,8978929,1823.936908,14.08682909,TESSy COVID-19,2020-12-07
49,Austria,AT,2020-W50,national,AT,Austria,18693.0,162984.0,8978929,1815.18308,11.46922397,TESSy COVID-19,2020-12-14
50,Austria,AT,2020-W51,national,AT,Austria,14841.0,185766.0,8978929,2068.910446,7.98908304,TESSy COVID-19,2020-12-21
51,Austria,AT,2020-W52,national,AT,Austria,13415.0,163961.0,8978929,1826.064111,8.181823726,TESSy COVID-19,2020-12-28
52,Austria,AT,2020-W53,national,AT,Austria,14916.0,127657.0,8978929,1421.73972,11.68443564,TESSy COVID-19,2021-01-04
